label,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x_max,x_min,x_diff,y_max,y_min,y_diff
0,979.00032,334.99980,993.14943,344.75055,1005.54706,356.61812,1018.10078,368.35808,1030.17086,380.53781,1041.07415,393.82646,1051.38262,407.58172,1061.47475,421.46428,1071.59842,435.32107,1082.00064,449.00028,1082.00064,979.0003199999998,103.00032000000022,449.00028000000003,334.99979999999994,114.0004800000001
0,972.49920,494.99964,972.75517,489.64260,971.60969,481.26665,972.36360,473.63004,977.77359,470.01484,985.07373,468.89526,991.88472,469.39608,998.33975,472.25382,1004.27731,476.50368,1009.49952,480.99960,1009.4995200000001,971.6096866301928,37.88983336980732,494.99963999999994,468.89526142655444,26.1043785734455
0,975.50016,491.50044,977.62985,486.63787,978.42778,480.16351,979.59159,473.83615,982.81417,469.41063,988.51375,467.58170,994.51076,466.90440,1000.17613,467.32890,1005.50677,469.35933,1010.49984,473.50008,1010.4998400000001,975.5001600000002,34.9996799999999,491.5004400000001,466.90440450383636,24.596035496163722
0,966.00000,501.50016,965.09440,494.85011,966.47685,488.77635,970.08618,483.34084,975.53574,479.99547,981.70132,481.66442,987.93061,483.79675,993.85377,485.66047,999.15024,488.73415,1003.49952,494.49960,1003.4995200000001,965.0943986846701,38.40512131533001,501.50015999999994,479.995473977569,21.504686022430917
0,898.50048,545.50044,905.71722,540.30999,914.09536,537.23294,922.93177,536.55408,931.70928,538.05606,940.21356,540.77032,948.42997,544.11557,956.47206,547.84501,964.45630,551.71956,972.49920,555.50016,972.4992,898.5004800000002,73.99871999999982,555.50016,536.5540839497736,18.946076050226452
0,886.50048,534.99960,893.77363,530.57881,902.86414,534.33886,911.02798,538.81775,919.36688,543.33671,927.01532,548.86329,933.81166,555.47554,940.24291,562.54534,946.80654,569.43319,954.00000,575.49960,954.0,886.5004799999998,67.49952000000019,575.4996,530.578810557056,44.92078944294394
0,1051.49952,495.49968,1061.96253,481.25455,1073.93348,467.96245,1087.66156,456.70217,1103.22267,448.23100,1119.71127,441.48424,1136.61150,436.09738,1154.10766,433.04213,1171.88862,432.63582,1189.49952,435.00024,1189.49952,1051.4995199999998,138.00000000000023,495.49967999999996,432.63581728713575,62.863862712864204
0,873.50016,545.50044,872.46784,537.95588,873.04178,530.60301,875.31156,523.24460,879.75460,517.14464,887.11582,516.20342,894.72699,517.88746,901.62120,520.48821,908.23099,523.76807,914.99904,527.50008,914.9990399999999,872.4678363044181,42.53120369558178,545.5004399999998,516.2034180059637,29.297021994036072
0,893.50080,532.00044,900.45668,524.01605,910.98577,522.99879,921.46331,524.80166,930.98746,529.21591,940.19177,534.60201,949.51422,539.63447,958.60691,544.90081,967.06906,551.11735,974.49984,559.00044,974.49984,893.5007999999998,80.99904000000015,559.0004399999999,522.9987874790834,36.00165252091654
0,878.49984,545.00040,886.39790,545.58197,893.59470,549.26987,900.72862,553.05282,907.84172,556.68101,914.82725,560.59879,921.67511,564.81945,928.39611,569.26310,935.00107,573.84986,941.50080,578.49984,941.5008,878.49984,63.00096000000008,578.4998400000001,545.0004,33.49944000000005
